country,latitude,longitude,crop,planting_start_day,planting_end_day,harvest_start_day,harvest_end_day,planting_start_month,planting_end_month,harvest_start_month,harvest_end_month
India,26.75000063578288,82.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.75000063578288,82.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.75000063578288,83.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,26.75000063578288,83.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.25000063578288,77.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.25000063578288,78.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.25000063578288,78.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.25000063578288,79.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.25000063578288,79.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.25000063578288,80.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.25000063578288,80.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.25000063578288,81.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.25000063578288,81.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.25000063578288,82.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.25000063578288,82.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.25000063578288,83.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.25000063578288,83.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.750001271565758,77.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.750001271565758,77.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.750001271565758,78.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.750001271565758,78.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.750001271565758,79.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.750001271565758,79.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.750001271565758,80.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.750001271565758,80.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.750001271565758,81.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.750001271565758,81.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,27.750001271565758,82.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.250001271565758,76.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.250001271565758,76.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.250001271565758,77.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.250001271565758,77.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.250001271565758,78.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.250001271565758,78.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.250001271565758,79.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.250001271565758,79.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.250001271565758,80.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.250001271565758,80.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.750001271565758,75.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.750001271565758,76.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.750001271565758,76.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.750001271565758,77.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.750001271565758,77.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.750001271565758,78.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.750001271565758,78.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.750001271565758,79.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,28.750001271565758,79.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.250001271565758,75.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.250001271565758,75.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.250001271565758,76.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.250001271565758,76.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.250001271565758,77.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.250001271565758,77.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.250001271565758,78.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.250001271565758,78.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.250001271565758,79.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.250001271565758,79.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.750001271565758,74.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.750001271565758,75.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.750001271565758,75.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.750001271565758,76.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.750001271565758,76.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.750001271565758,77.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.750001271565758,77.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.750001271565758,78.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.750001271565758,78.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.750001271565758,79.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.750001271565758,79.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,29.750001271565758,80.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.250001271565758,74.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.250001271565758,74.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.250001271565758,75.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.250001271565758,75.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.250001271565758,76.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.250001271565758,76.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.250001271565758,77.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.250001271565758,77.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.250001271565758,78.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.250001271565758,78.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.250001271565758,79.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.250001271565758,79.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.250001271565758,80.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.250001271565758,80.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.750001271565758,74.25001271565755,Cotton,151.0,209.0,263.0,351.0,5,7,9.0,12.0
India,30.750001271565758,74.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.750001271565758,75.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.750001271565758,75.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.750001271565758,76.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.750001271565758,76.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.750001271565758,77.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.750001271565758,77.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.750001271565758,78.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.750001271565758,78.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.750001271565758,79.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,30.750001271565758,79.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,31.250001271565758,74.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,31.250001271565758,75.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,31.250001271565758,75.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,31.250001271565758,76.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,31.250001271565758,76.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,31.250001271565758,77.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,31.250001271565758,77.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,31.250001271565758,78.25001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,31.250001271565758,78.75001271565755,Cotton,67.0,166.0,264.0,360.0,3,6,9.0,12.0
India,31.250001271565758,79.25001271565755,Cotton,89.0,136.0,242.0,303.0,3,5,8.0,10.0
