country,crop,price_element,year,month,unit,price,flag,source,source_url
India,Fibre Crops Primary,,2025.0,Annual value,,150.88,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Figs,,2020.0,Annual value,,113.76,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Figs,,2021.0,Annual value,,135.78,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Figs,,2022.0,Annual value,,141.16,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Figs,,2023.0,Annual value,,144.97,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Figs,,2024.0,Annual value,,155.5,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Figs,,2025.0,Annual value,,166.02,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Fruit Primary,,2020.0,Annual value,,109.29,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Fruit Primary,,2021.0,Annual value,,129.89,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Fruit Primary,,2022.0,Annual value,,136.48,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Fruit Primary,,2023.0,Annual value,,139.61,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Fruit Primary,,2024.0,Annual value,,148.59,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Fruit Primary,,2025.0,Annual value,,157.15,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Fruit excl Melons, Total",,2020.0,Annual value,,109.28,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Fruit excl Melons, Total",,2021.0,Annual value,,129.73,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Fruit excl Melons, Total",,2022.0,Annual value,,136.13,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Fruit excl Melons, Total",,2023.0,Annual value,,139.17,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Fruit excl Melons, Total",,2024.0,Annual value,,148.31,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Fruit excl Melons, Total",,2025.0,Annual value,,157.04,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Ginger, raw",,2020.0,Annual value,,109.18,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Ginger, raw",,2021.0,Annual value,,127.13,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Ginger, raw",,2022.0,Annual value,,136.33,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Ginger, raw",,2023.0,Annual value,,141.53,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Ginger, raw",,2024.0,Annual value,,147.57,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Ginger, raw",,2025.0,Annual value,,153.62,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Grapes,,2020.0,Annual value,,108.15,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Grapes,,2021.0,Annual value,,131.89,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Grapes,,2022.0,Annual value,,138.4,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Grapes,,2023.0,Annual value,,142.33,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Grapes,,2024.0,Annual value,,150.99,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Grapes,,2025.0,Annual value,,159.66,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Green garlic,,2020.0,Annual value,,131.65,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Green garlic,,2021.0,Annual value,,186.1,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Green garlic,,2022.0,Annual value,,200.33,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Green garlic,,2023.0,Annual value,,191.12,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Green garlic,,2024.0,Annual value,,203.2,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Green garlic,,2025.0,Annual value,,215.29,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Groundnuts, excluding shelled",,2020.0,Annual value,,108.95,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Groundnuts, excluding shelled",,2021.0,Annual value,,123.16,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Groundnuts, excluding shelled",,2022.0,Annual value,,126.55,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Groundnuts, excluding shelled",,2023.0,Annual value,,122.27,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Groundnuts, excluding shelled",,2024.0,Annual value,,140.58,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Groundnuts, excluding shelled",,2025.0,Annual value,,152.65,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Hen eggs in shell, fresh",,2020.0,Annual value,,112.82,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
